Record,Age,Gender,Aerobic,Weights,Smoke,Caffeine,Sports,Pulse,Reaction,,,Bin,Bin,,,,,,,,,,  
1,20,male,yes,yes,no,yes,yes,72,125,,,50,50,,,,,,,,,,
2,18,male,no,no,no,no,no,80,150,,,55,60,,,,,,,,,,
3,21,male,yes,yes,no,no,yes,60,100,,,60,70,,,50,Frequency,,,,,,
4,18,male,no,no,no,no,no,60,160,,,65,80,,,55,1,,,,,,
5,18,male,yes,yes,no,no,yes,53,150,,,70,90,,,60,1,,,,,,
6,18,male,yes,no,no,no,yes,81,140,,,75,100,,,65,8,,,,,,
7,18,male,no,no,no,no,no,67,170,,,80,110,,,70,5,,,,,,
8,20,male,no,no,yes,no,no,63,150,,,85,,,,75,8,,,,,,
9,18,male,no,no,no,no,no,72,210,,,90,,,,80,23,,,,,,
10,19,male,no,no,no,no,no,72,250,,,95,,,,85,12,,,,,,
11,18,male,no,no,yes,no,yes,76,275,,,100,,,,90,12,,,,,,
12,21,male,no,no,no,no,no,76,150,,,105,,,,95,7,,,,,,
13,21,male,yes,no,no,no,no,80,100,,,110,,,,100,0,,,,,,
14,19,male,yes,yes,no,no,no,60,190,,,115,,,,105,3,,,,,,
15,19,male,no,yes,no,yes,yes,72,160,,,120,,,,110,3,,,,,,
16,20,male,no,yes,no,no,no,80,210,,,125,,,,115,0,,,,,,
17,18,male,no,yes,no,no,yes,80,200,,,130,,,,120,2,,,,,,
18,20,male,no,no,no,no,no,80,175,,,135,,,,125,0,,,,,,
19,18,male,no,yes,no,no,no,104,180,,,140,,,,130,1,,,,,,
20,18,male,yes,yes,no,no,yes,80,175,,,,,,,135,0,,,,,,
21,19,male,yes,yes,yes,no,yes,56,160,,,,,,,140,1,,,,,,
22,18,male,no,no,no,yes,no,68,159,,,,,,,145,0,,,,,,
23,20,male,yes,no,no,no,no,70,180,,,,,,,,,,,,,,
24,18,male,no,no,no,no,yes,72,190,,,,,,,,,,,,,,
25,19,male,no,no,yes,no,yes,68,180,,,,,,,50,Frequency,,,,,,
26,20,male,yes,no,no,no,no,80,175,,,,,,,55,1,,,,,,
27,19,male,no,yes,no,no,yes,78,150,,,,,,,60,8,,,,,,
28,18,male,no,yes,no,no,yes,62,200,,,,,,,65,4,,,,,,
29,18,male,no,no,no,no,yes,64,200,,,,,,,70,14,,,,,,
30,18,male,no,yes,no,no,yes,88,197,,,,,,,75,11,,,,,,
31,20,male,no,no,no,no,no,75,200,,,,,,,80,22,,,,,,
32,18,male,no,yes,no,yes,no,68,175,,,,,,,85,7,,,,,,
33,23,male,no,yes,no,no,no,73,140,,,,,,,90,5,,,,,,
34,18,male,no,yes,yes,no,yes,60,155,,,,,,,95,1,,,,,,
35,18,male,no,no,no,no,no,96,180,,,,,,,100,2,,,,,,
36,18,male,no,yes,no,no,yes,78,210,,,,,,,105,1,,,,,,
37,18,male,no,no,yes,yes,no,92,170,,,,,,,110,0,,,,,,
38,18,male,no,no,no,no,no,100,105,,,,,,,115,0,,,,,,
39,21,male,yes,yes,no,no,no,80,175,,,,,,,120,0,,,,,,
40,17,male,yes,no,no,no,yes,76,180,,,,,,,125,0,,,,,,
41,20,male,no,no,no,no,no,71,203,,,,,,,130,0,,,,,,
42,18,male,no,no,yes,yes,yes,77,193,,,,,,,135,0,,,,,,
43,19,male,no,yes,no,no,no,70,133,,,,,,,140,0,,,,,,
44,18,male,no,no,yes,yes,yes,85,190,,,,,,,More,0,,,,,,
45,18,male,no,no,no,yes,yes,80,153,,,,,,,,,,,,,,
46,21,male,no,no,no,no,no,68,150,,,,,,,,,,,,,,
47,19,male,yes,no,no,no,yes,76,168,,,,,,,,,,,,,,
48,18,male,no,yes,no,no,yes,84,183,,,,,,,,,,,,,,
49,23,male,no,yes,yes,no,yes,84,183,,,,,,,,,,,,,,
50,22,male,no,no,no,no,no,72,150,,,,,,,,,,,,,,
51,19,male,yes,yes,no,yes,yes,60,190,,,,,,,,,,,,,,
52,19,male,no,yes,no,yes,yes,68,150,,,,,,,,,,,,,,
53,19,male,yes,yes,no,no,yes,68,183,,,,,,,,,,,,,,
54,18,male,yes,yes,no,no,yes,66,137,,,,,,,,,,,,,,
55,18,male,no,yes,no,yes,no,63,145,,,,,,,,,,,,,,
56,19,male,yes,no,no,no,yes,78,180,,,,,,,,,,,,,,
57,18,male,no,no,no,no,yes,74,110,,,,,,,,,,,,,,
58,18,male,yes,yes,no,yes,yes,68,187,,,,,,,,,,,,,,
59,19,male,yes,yes,yes,no,yes,72,186,,,,,,,,,,,,,,
60,18,male,yes,no,no,yes,yes,75,223,,,,,,,,,,,,,,
61,18,male,no,no,no,yes,no,80,176,,,,,,,,,,,,,,
62,18,male,no,no,yes,no,yes,84,180,,,,,,,,,,,,,,
63,19,male,yes,yes,no,no,yes,56,100,,,,,,,,,,,,,,
64,19,male,yes,yes,no,no,yes,56,100,,,,,,,,,,,,,,
65,19,male,yes,yes,no,no,yes,80,146,,,,,,,,,,,,,,
66,18,male,no,no,no,no,no,76,190,,,,,,,,,,,,,,
67,18,male,no,yes,no,yes,no,80,175,,,,,,,,,,,,,,
68,18,male,no,no,yes,yes,no,90,170,,,,,,,,,,,,,,
69,18,male,no,no,no,yes,yes,88,130,,,,,,,,,,,,,,
70,18,male,no,yes,no,yes,no,86,186,,,,,,,,,,,,,,
71,19,male,no,yes,yes,yes,no,76,243,,,,,,,,,,,,,,
72,23,male,no,yes,no,no,yes,84,190,,,,,,,,,,,,,,
73,20,male,no,yes,no,yes,no,82,180,,,,,,,,,,,,,,
74,21,male,no,no,yes,yes,no,90,166,,,,,,,,,,,,,,
75,19,male,no,no,no,no,yes,68,210,,,,,,,,,,,,,,
76,19,male,yes,no,no,yes,yes,69,170,,,,,,,,,,,,,,
77,18,male,yes,yes,no,no,yes,68,156,,,,,,,,,,,,,,
78,18,female,yes,yes,no,no,yes,80,110,,,,,,,,,,,,,,
79,18,female,yes,yes,no,yes,yes,92,170,,,,,,,,,,,,,,
80,18,female,no,no,no,no,no,82,205,,,,,,,,,,,,,,
81,18,female,no,no,yes,no,no,80,180,,,,,,,,,,,,,,
82,21,female,no,no,no,yes,no,76,163,,,,,,,,,,,,,,
83,18,female,no,no,no,yes,yes,80,140,,,,,,,,,,,,,,
84,20,female,no,no,no,no,no,88,166,,,,,,,,,,,,,,
85,18,female,yes,yes,no,no,yes,80,150,,,,,,,,,,,,,,
86,18,female,yes,no,no,no,no,80,150,,,,,,,,,,,,,,
87,18,female,no,no,yes,yes,yes,82,120,,,,,,,,,,,,,,
88,18,female,yes,yes,no,no,yes,80,70,,,,,,,,,,,,,,
89,18,female,no,no,no,no,yes,94,150,,,,,,,,,,,,,,
90,18,female,no,no,no,no,no,93,150,,,,,,,,,,,,,,
91,18,female,no,no,yes,yes,yes,84,180,,,,,,,,,,,,,,
92,18,female,no,no,no,no,yes,72,100,,,,,,,,,,,,,,
93,18,female,no,no,no,no,no,86,150,,,,,,,,,,,,,,
94,18,female,no,no,no,no,no,80,190,,,,,,,,,,,,,,
95,18,female,no,no,no,no,yes,74,100,,,,,,,,,,,,,,
96,18,female,no,yes,no,no,no,73,210,,,,,,,,,,,,,,
97,18,female,no,no,no,no,yes,81,220,,,,,,,,,,,,,,
98,19,female,no,no,yes,no,no,72,225,,,,,,,,,,,,,,
99,18,female,no,no,yes,yes,no,80,200,,,,,,,,,,,,,,
100,18,female,no,yes,no,no,no,76,275,,,,,,,,,,,,,,
101,18,female,no,no,no,yes,no,80,250,,,,,,,,,,,,,,
102,18,female,yes,no,no,no,yes,80,270,,,,,,,,,,,,,,
103,19,female,yes,no,no,no,no,89,240,,,,,,,,,,,,,,
104,18,female,no,no,no,no,no,94,150,,,,,,,,,,,,,,
105,21,female,yes,no,no,no,yes,64,155,,,,,,,,,,,,,,
106,19,female,no,no,no,no,yes,76,135,,,,,,,,,,,,,,
107,19,female,no,no,no,no,no,59,240,,,,,,,,,,,,,,
108,19,female,yes,no,yes,no,yes,140,260,,,,,,,,,,,,,,
109,18,female,no,no,yes,no,yes,79,110,,,,,,,,,,,,,,
110,18,female,no,no,no,no,no,63,180,,,,,,,,,,,,,,
111,21,female,no,no,no,no,no,80,190,,,,,,,,,,,,,,
112,17,female,no,no,no,no,no,88,310,,,,,,,,,,,,,,
113,23,female,yes,yes,no,yes,yes,72,160,,,,,,,,,,,,,,
114,18,female,no,no,no,no,no,80,190,,,,,,,,,,,,,,
115,18,female,no,no,no,yes,no,82,212,,,,,,,,,,,,,,
116,17,female,no,no,no,yes,no,104,235,,,,,,,,,,,,,,
117,18,female,no,no,no,no,no,80,220,,,,,,,,,,,,,,
118,19,female,yes,no,no,yes,no,72,200,,,,,,,,,,,,,,
119,18,female,no,no,no,no,yes,89,163,,,,,,,,,,,,,,
120,18,female,no,no,no,no,yes,82,180,,,,,,,,,,,,,,
121,18,female,no,yes,no,yes,yes,89,230,,,,,,,,,,,,,,
122,18,female,no,no,yes,yes,yes,86,200,,,,,,,,,,,,,,
123,19,female,no,no,no,no,yes,80,130,,,,,,,,,,,,,,
124,19,female,yes,yes,no,yes,no,70,173,,,,,,,,,,,,,,
125,18,female,no,no,no,yes,yes,93,208,,,,,,,,,,,,,,
126,18,female,no,no,yes,no,no,75,200,,,,,,,,,,,,,,
127,19,female,no,no,no,no,no,86,250,,,,,,,,,,,,,,
128,18,female,yes,no,no,yes,no,84,150,,,,,,,,,,,,,,
129,19,female,yes,no,no,no,no,88,196,,,,,,,,,,,,,,
130,19,female,no,no,no,yes,no,106,126,,,,,,,,,,,,,,
131,20,female,yes,yes,no,yes,no,65,176,,,,,,,,,,,,,,
132,18,female,yes,yes,no,no,yes,68,206,,,,,,,,,,,,,,
133,20,female,yes,no,no,no,no,80,177,,,,,,,,,,,,,,
134,18,female,no,no,no,yes,yes,102,181,,,,,,,,,,,,,,
135,24,female,no,no,no,no,no,120,136,,,,,,,,,,,,,,
136,18,female,no,no,yes,yes,no,88,163,,,,,,,,,,,,,,
137,18,female,no,no,no,no,yes,91,175,,,,,,,,,,,,,,
138,18,female,no,no,no,yes,yes,66,167,,,,,,,,,,,,,,
139,19,female,yes,no,no,no,no,85,156,,,,,,,,,,,,,,
140,18,female,yes,no,no,no,yes,43,213,,,,,,,,,,,,,,
141,19,female,yes,yes,no,no,yes,70,228,,,,,,,,,,,,,,
142,18,female,no,no,no,no,yes,84,243,,,,,,,,,,,,,,
143,37,female,no,no,yes,yes,no,80,225,,,,,,,,,,,,,,
144,18,female,no,no,no,yes,no,72,200,,,,,,,,,,,,,,
145,19,female,yes,no,no,no,no,126,163,,,,,,,,,,,,,,
146,19,female,yes,yes,no,yes,no,92,225,,,,,,,,,,,,,,
147,38,female,no,no,no,yes,no,85,241,,,,,,,,,,,,,,
148,18,female,yes,no,no,yes,no,76,130,,,,,,,,,,,,,,
149,28,female,yes,no,no,no,no,108,207,,,,,,,,,,,,,,
150,18,female,no,no,no,yes,no,107,255,,,,,,,,,,,,,,
151,18,female,no,no,no,no,yes,76,223,,,,,,,,,,,,,,
152,18,female,yes,yes,no,no,yes,64,150,,,,,,,,,,,,,,
153,18,female,no,no,no,no,no,88,190,,,,,,,,,,,,,,
154,18,female,no,no,no,no,yes,80,160,,,,,,,,,,,,,,
155,18,female,yes,yes,no,yes,no,64,183,,,,,,,,,,,,,,
156,18,female,no,no,no,no,yes,88,166,,,,,,,,,,,,,,
157,20,female,no,no,no,yes,no,84,172,,,,,,,,,,,,,,
158,18,female,yes,no,no,no,yes,65,152,,,,,,,,,,,,,,
159,18,female,yes,yes,no,no,yes,63,250,,,,,,,,,,,,,,
160,18,female,yes,yes,no,no,yes,63,250,,,,,,,,,,,,,,
161,18,female,no,no,no,yes,no,84,250,,,,,,,,,,,,,,
162,19,female,yes,no,no,yes,no,80,200,,,,,,,,,,,,,,
163,24,female,yes,yes,no,no,no,120,200,,,,,,,,,,,,,,
164,23,female,no,no,no,no,no,101,210,,,,,,,,,,,,,,
165,18,female,no,no,no,no,yes,66,170,,,,,,,,,,,,,,
